拼音城市,出现次数,中文城市,备注
BEIJING,1425,北京,
SHANGHAI,721,上海,
SHENZHEN,437,深圳,
CHENGDU,374,成都,
TIANJIN,374,天津,
NONE,324,,需填写
WUHAN,256,武汉,
GUANGZHOU,231,广州,
SUZHOU,230,苏州,
NANJING,221,南京,
SHENYANG,220,沈阳,
CHONGQING,219,重庆,
SHIJIAZHUANG,212,石家庄,
HANGZHOU,192,杭州,
HARBIN,187,哈尔滨,
ZHENGZHOU,178,郑州,
NANTONG,171,南通,
TANGSHAN,157,唐山,
WUXI,153,无锡,
URUMQI,148,乌鲁木齐,
DALIAN,146,大连,
HEFEI,143,合肥,
QINGDAO,136,青岛,
XIAN,134,西安,
CHANGSHA,133,长沙,
JINAN,131,济南,
TAIYUAN,114,太原,
LANZHOU,111,兰州,
KUNMING,106,昆明,
HONGKONG,104,香港,
CHANGCHUN,104,长春,需填写
DAQING,103,大庆,
GUIYANG,101,贵阳,
CHANGZHOU,92,常州,
CHINA,82,中国,
LUOYANG,76,洛阳,
GUILIN,74,桂林,
HOHHOT,72,呼和浩特,需填写
JINING,69,济宁,
TAIPEI,68,台北,
FUZHOU,65,福州,
XUZHOU,64,徐州,
LINYI,62,临汾,
YANCHENG,62,盐城,
ZIBO,59,淄博,
XINGTAI,56,邢台,
NINGBO,54,宁波,
NANCHANG,54,南昌,
FOSHAN,51,佛山,
NANNING,51,南宁,
SUIZHOU,50,随州,
HENGSHUI,48,衡水,
YICHANG,47,宜昌,
ZHENJIANG,47,镇江,
BAOTOU,46,包头,
WEIFANG,46,潍坊,需填写
QIQIHAER,45,齐齐哈尔,需填写
ZHONGSHAN,44,中山,
TAIZHOU,44,台州,
DONGGUAN,44,东莞,
SHANDONG,44,山东,
BAODING,42,保定,
CHENGDUSICHUAN,41,成都,需填写
JIAXING,40,嘉兴,
HAIKOU,40,海口,
DONGYING,40,东营,
YANTAI,40,烟台,
HAERBIN,40,哈尔滨,需填写
JILIN,39,吉林,
WEIHAI,38,威海,
LIAOYANG,38,辽阳,
YANGZHOU,37,扬州,
HANDAN,37,邯郸,
ANSHAN,36,鞍山,
WENZHOU,34,温州,
TAIAN,34,泰安,
JIANGSU,33,江苏,
HUAIAN,33,淮安,
WUHU,33,芜湖,
QUANZHOU,33,泉州,
