CallSign,City
VR2UGO,Tai Po N T
VR2CLS,Cheung Sha
VR2WCV,Yuen Long
VR2YQH,Hong Kong
VR2VQG,Hong Kong
VR2UD,HONG KONG
VR2XUA,Hong Kong
VR2YDC,Hong Kong
VR2UND,Hong Kong
VR2YMK,Hong Kong
VR2XGB,
VR2ZQT,Hong Kong
VR2WZW,Hong Kong
VR2XHW,Kowloon
VR2VDP,Wong Tau Sin
VR2VDP,Wong Tau Sin
VR2UZO,Sham Shui Po  KLN
VR2UD,HONG KONG
VR2VKU,HKG
VR2UYP,HKG
VR2WGG,HONG KONG
VR2WXP,HKG
VR2WDK,HKG
VR2UCU,HONG KONG
VR2YTX,Hong Kong
VR2YTH,Hong Kong
VR2XXU,Hong Kong
VR2ZKG,Hong Kong
VR2VVP,Hong Kong
VR2VVD,HONG KONG
VR2WIJ,Hong Kong
VR2VHK,Hong Kong
VR2WKW,Hong Kong
VR2WBN,Hong Kong
VR2UJE,Hong Kong
VR2WPY,Hong Kong
VR2XRQ,Hong Kong
VR2YYV,HONG KONG
VR2XVV,Hong Kong
VR2VHW,Hong Kong
VR2UCC,Hong Kong
VR2ZWR,Hong Kong
VR2HX,Hong Kong
VR2YEM,Hong Kong
VR2USP,Hong Kong SAR
VR2USX,Hong Kong
VR2WMV,Ma On Shan
VR2ZGZ,Hong Kong
VR2ZDX,Hong Kong
VR2YYW,Hong Kong
VR2XZK,Hong Kong
VR2VKN,Hong Kong
VR2PX,Hong Kong
VR2OT,Kowloon
VR2UQQ,HK
VR2VMJ,NT
VR2UCO,HONG KONG
VR2WML,Hong Kong
VR2WML,Hong Kong
VR2UGX,Hong Kong
VR2VAV,Hongkong
VR2WFM,Taipo
VR2YKS,Hong Kong
VR2XNG,Quarry Bay
VR2UNG,North Point
VR2XNG,Quarry Bay
VR2VQP,Hong Kong
VR2SC,Hong Kong
VR2YDC,Hong Kong
VR2WMO,Tuen Mun
VR2UHO,Hong Kong
VR2UJG,Hong Kong
VR2IP,Hong Kong
VR2IP,Hong Kong
VR2UHV,
VR2UJG,Hong Kong
VR2WAP,Hksar
VR2YSK,Hong Kong
VR2VIQ,Please Contact Me Vi
VR2WWM,Hong Kong
VR2VIQ,Please Contact Me Vi
VR2WXZ,Hong Kong
VR2URD,Shatin
VR2ZXP,Tseung Kwan O
VR2VFA,Kowloon
VR2WFB,Hong Kong
VR2ZDV,Kowloon
VR2WJL,Hongko G
VR2UEE,Kwun Tong
VR2ZFH,Hong Kong
VR2UWE,Hong Kong
VR2UWE,Hong Kong
VR2WOR,Hong Kong
VR2WOR,Hong Kong
VR2VMR,Hong Kong
VR2YPZ,Hong Kong
VR2YPZ,Hong Kong
VR2WAG,Hong Kong
VR2XPL,Hong Kong
VR2XUA,Hong Kong
VR2VVR,New Territories
VR2XZX,Hk
VR2UND,Hong Kong
VR2UIW,Hong Kong
VR2VSD,Hong Kong
VR2UCW,Hong Kong
VR2VIY,Lung Yeuk Tau Fanling
VR2CS,Kowloon
VR2YOO,Tsueng Kwan O
VR20VVR,Tuen Mun
VR2UOD,Mid-Levels
VR2UGR,Hong Kong
VR2UGR,Hong Kong
VR2YTL,Hong Kong
VR2WUK,China
VR2UOD,Mid-Levels
VR2UYV,Hong Kong
VR2ML,Hong Kong
XX9AS,Macau Sar
BH5HKD,JIAXING
XX9DV,Macao
XX9CM,Macau
BD7IXF,SHENZHEN
BG8CVQ,wen zhou
BL7JV,Zhongshan
BH4CST,Shanghai
BH4BQI,Shanghai
BH4CST,Shanghai
BH4CDS,Shangai
BG1PMS,Beijing
BG4JJS,Qingdao
VR2USB,Hong Kong
BG2DNT,daqing
VR2UEA,Hong Kong
VR2UGX,Hong Kong
VR2VUU,Hk
VR2VUU,Hk
VR2XAC,Hong Kong
VR2VSW,Hong Kong
VR2UEA,Hong Kong
VR2HKS,Wan Chai
BH4DPF,Shanghai
VR2UCL,Kowloon
VR2UCL,Kowloon
VR2YDF,Hong Kong
BG4DIB,Shanghai
VR2VXD,Hong Kong
BG9IXH,
VR2YOQ,Hong Kong
VR2AAA,Hong Kong
VR2AAA,Hong Kong
BG3MDO,Hebei China
BG0BBB,Urmuqi
BG0BPZ,Urumqi
VR2SC,Hong Kong
BD7PA,Guangzhou
VR2ZCL,Hong Kong
BG7PRH,Zhongshan
BG5UEZ,Zhangzhou City Fuji
BI3OGV,TangShan
BG5CDU,Ningbo
BG0AXE,Changji
BG0AXE,Changji
BH7NJF,Taishan
BI1OTX,BeiJing
BI3NFU,Tangshan
BH4FXO,Shanghai
BG2AZX,daqing
BH8SXD,Kunming
BG5EIB,Haining Zhejiang
BG8NRN,Guizhou Xingyi
